"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Et_3A_025177",83.5971470970552,1.70677124065171,0.383389443194235,4.45179508969163,8.51554075133905e-06,2.87887589548385e-05
"Et_10A_001252",50.4669377333362,1.27600154155309,0.286681405969449,4.45093931794473,8.54955002351894e-06,2.88968099189619e-05
"Et_5B_044468",22.8824423993925,-2.50439383393322,0.562674618488786,-4.45087400718277,8.55215086672083e-06,2.8903292180133e-05
"Et_1A_008832",6.26603137926051,-5.30896158594961,1.19281537503235,-4.45078232312828,8.55580323839898e-06,2.89133269223864e-05
"Et_2B_021127",233.253468900529,-1.6633050200367,0.373748950197471,-4.45032693512021,8.57396640365068e-06,2.89723936603718e-05
"Et_4B_037453",63.8679919689676,2.49627417934059,0.560946046152787,4.4501145813597,8.58244873324802e-06,2.89987409493857e-05
"Et_3B_028723",39.1350185988146,-1.20940080400898,0.27177171786812,-4.45006129959357,8.58457829618204e-06,2.90036207483973e-05
"Et_1A_007606",16.8795358705153,-2.71540510811229,0.610251699357567,-4.44964776168733,8.60112373676362e-06,2.90572009690937e-05
"Et_3A_025213",128.115605025776,1.18731596492043,0.266840200939105,4.44953931507264,8.60546767180378e-06,2.90695555452375e-05
"Et_4B_037212",6.60964137679672,5.65278831308514,1.27052052087988,4.44919087900319,8.61943881366388e-06,2.91144265778798e-05
"Et_2B_022058",10.7935403273063,-2.78946003416187,0.626992953053684,-4.4489495784222,8.62912687562915e-06,2.91433525330372e-05
"Et_7A_052825",348.358284136513,3.22517213498076,0.724929928130352,4.44894328379947,8.62937973987452e-06,2.91433525330372e-05
"Et_9B_064816",43.8616910090098,-1.62562704683743,0.365438724856795,-4.44842578594938,8.65019262893825e-06,2.92089804561291e-05
"Et_4B_038425",35.5992874920621,-1.69889305608838,0.381921096426554,-4.4482828311504,8.65595048045388e-06,2.92260909791613e-05
"Et_6B_050133",6.22663974573302,4.63774709737887,1.04260142790968,4.44824548790148,8.65745517370026e-06,2.92288394855201e-05
"Et_3B_030530",32.1400158019928,-1.47997664624212,0.332809128535927,-4.44692323420558,8.71089492499236e-06,2.94045683357802e-05
"Et_9A_063481",76.0053914421959,-1.75217454832374,0.394072965045785,-4.446320107547,8.73537523915477e-06,2.94848524582095e-05
"Et_5A_042347",770.366899767389,-2.18669333435775,0.491806752873386,-4.44624503747044,8.7384268561264e-06,2.949280042677e-05
"Et_2B_020194",21.7365072594695,-1.68801961831767,0.37977085415167,-4.44483719554614,8.79584502747888e-06,2.96818564359227e-05
"Et_7B_053686",125.236243983803,1.8681281496708,0.420294514800244,4.44480735266953,8.79706604869925e-06,2.96836098852617e-05
"Et_4B_039841",87.7822256082654,2.77067355288667,0.62335796038928,4.44475522724762,8.79919914875094e-06,2.96884404030248e-05
"Et_8A_058111",41.3924027024492,2.38161448615105,0.535848891778572,4.44456361241334,8.80704474637021e-06,2.97125425435577e-05
"Et_3B_027595",27.4830047136221,-2.31809179565411,0.52162387192333,-4.44399100659801,8.83052973250814e-06,2.97893996237341e-05
"Et_7B_053277",57.5979512330266,-1.14968009310495,0.258729660117562,-4.44355738952601,8.84835400824472e-06,2.98447709913857e-05
"Et_2B_021432",56.8796272470453,-1.0806678491276,0.243206812545599,-4.44341109451852,8.85437536748222e-06,2.98627004743264e-05
"Et_10A_000048",9.18699392614139,-2.77707548025952,0.625105427546883,-4.44257137737177,8.88901311377187e-06,2.99739234730244e-05
"Et_10B_003902",5.90030891052313,5.07810772394665,1.14311162891512,4.44235505570534,8.89795718378267e-06,3.00001233283686e-05
"Et_4A_035115",74.7371940003387,-2.21686246389069,0.499070566200271,-4.44198198416912,8.91340246667904e-06,3.00498042212903e-05
"Et_3B_029086",81.1209726665672,1.35816631158365,0.305792956040399,4.44145715182602,8.93517407272863e-06,3.01184043614397e-05
"Et_5A_041759",12.1683549525122,-3.35120838530551,0.754559683263731,-4.44127675999118,8.94266898988574e-06,3.01412672548554e-05
"Et_5A_042778",75.789434587272,-1.04129329440397,0.234516460151818,-4.44017146485102,8.98872311010251e-06,3.02916676237887e-05
"Et_1A_004783",10.9998248039052,-2.46663510360848,0.55555126412614,-4.43997748342521,8.99682903853301e-06,3.03165701816002e-05
"Et_10A_001219",60.4416187557819,1.479488416736,0.333267354944582,4.43934395249128,9.02335116704483e-06,3.0403520811253e-05
"Et_10B_003585",57.3984375886503,1.53036614002656,0.3447308851664,4.43930673425986,9.02491159155873e-06,3.04063576590053e-05
"Et_3B_029617",24.2641508607977,-1.51442647617909,0.341175104094409,-4.43885400196147,9.04391365977671e-06,3.04679530394643e-05
"Et_8A_057766",20.1975108933513,-3.14147671562775,0.707736295465909,-4.43876728628096,9.04755764779709e-06,3.04778030450349e-05
"Et_4B_037143",326.660137705783,-1.64903886361015,0.371519449876962,-4.43863400464301,9.0531611774706e-06,3.04918249924835e-05
"Et_9A_061762",17.3278743983436,1.57292832931507,0.354371242157855,4.43864552816735,9.05267656562216e-06,3.04918249924835e-05
"Et_3B_029646",2275.35564391541,1.36305226649573,0.307122349218805,4.43814092319489,9.07392052950082e-06,3.05568804653835e-05
"Et_4A_033552",9.51406191294681,-5.01934558276463,1.13099783880334,-4.43797981795915,9.08071311608814e-06,3.05748889388853e-05
"Et_1B_013990",38.6375946662444,-1.60233866725833,0.361059413034342,-4.4378808844569,9.08488679952006e-06,3.05865083019641e-05
"Et_4A_033167",44.9678684085996,-1.24916367271767,0.281507449410771,-4.43740894009134,9.10482184027354e-06,3.06511860854647e-05
"Et_4B_039939",12.7730871925544,-4.79364848025021,1.0804317396393,-4.43678976133242,9.13103949211797e-06,3.07370021720038e-05
"Et_7A_051206",477.627462836052,-1.63561210869045,0.368751071004947,-4.43554537816788,9.1839482570618e-06,3.09101869125859e-05
"Et_1A_007012",35.7336671353358,-1.26117323043051,0.284336173423658,-4.43550046849431,9.18586319525064e-06,3.0913790532728e-05
"Et_7B_055695",18.8094306960001,-2.15668857688889,0.486235008622972,-4.43548600705793,9.18647990878042e-06,3.0913790532728e-05
"Et_1A_009122",91.96595745028,-1.3598251959084,0.306630642531465,-4.43473354352985,9.21862364285599e-06,3.10145601848848e-05
"Et_6A_047636",7.65366622386424,-4.12128482998657,0.929343464298704,-4.43461969477189,9.22349638311879e-06,3.1028487037646e-05
"Et_8A_057857",441.405758717057,1.7939486393304,0.404534398255649,4.43460098094477,9.22429757258014e-06,3.10287157834506e-05
"Et_1B_011019",8.51573114386079,2.9404187547499,0.663073427900105,4.43452961772567,9.22735343494092e-06,3.10365281645764e-05
"Et_4A_034709",125.025013846094,-1.87647946502088,0.423180352174408,-4.4342310680991,9.2401481942105e-06,3.10770938233321e-05
"Et_7B_053239",51.3407603768544,1.27214786098299,0.28691543086325,4.43387745704524,9.25532461581168e-06,3.11256625668429e-05
"Et_1B_013814",158.382887241425,1.08439054989264,0.24458117154912,4.43366324163207,9.26452997945638e-06,3.11541445157405e-05
