"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Et_6B_049253",86.6088474604313,3.84451039668084,0.458816809935037,8.37918383423042,5.32959760949005e-17,3.48391366749489e-16
"Et_8A_057341",58.6116325722949,-3.83192480951929,0.457326970367954,-8.37896091375547,5.33970016347383e-17,3.48997854699942e-16
"Et_10B_004326",148.309488509368,-1.83954939315525,0.219574341428374,-8.37779761145413,5.39272722447238e-17,3.52409228134143e-16
"Et_5A_042710",40.4970640204599,-6.90228427230261,0.823957606164489,-8.37698956919962,5.42986573682855e-17,3.54781408032398e-16
"Et_5B_044997",6571.62685701894,1.35089785963369,0.161266737101176,8.37679166774581,5.43899989511465e-17,3.55323364558895e-16
"Et_2B_021523",25.9114452849343,-5.15516129547255,0.615493659619013,-8.37565296556194,5.49185202407083e-17,3.58720755762737e-16
"Et_4B_039699",30.6548095230506,3.95187555806035,0.471840744882683,8.37544362355339,5.50162347317968e-17,3.59303557692846e-16
"Et_2B_022961",2118.85424406343,-3.50732372524733,0.418775419322047,-8.37519005037429,5.51348246675334e-17,3.60022493431571e-16
"Et_9B_064662",55.8796157391461,4.3966083381127,0.524989410669479,8.37466099079225,5.53830652006997e-17,3.61587676534034e-16
"Et_3B_029930",426.945586838808,-2.43037109699402,0.29021095404073,-8.37449814748526,5.54596946968921e-17,3.62032127035704e-16
"Et_1A_005656",133.294369036239,-1.12821938173159,0.134721775381639,-8.37443968159987,5.54872326090776e-17,3.62156027763134e-16
"Et_6A_046924",535.499371519884,-2.6168791979538,0.312497678634613,-8.37407563917804,5.56590032574058e-17,3.63221128427666e-16
"Et_5A_042481",139.595565730165,-2.13553169434143,0.255048559183762,-8.37303963282845,5.61507102242695e-17,3.66334981616072e-16
"Et_7A_051231",48.7411470513975,2.32595096453229,0.277790704116742,8.3730338346916,5.61534741432764e-17,3.66334981616072e-16
"Et_3B_030399",47.1695852937137,8.82786217562276,1.05432721175267,8.37298143993424,5.61784563324743e-17,3.6644147225498e-16
"Et_7A_051759",118.97786851925,-1.54155671999378,0.184132534438061,-8.37199533856593,5.6650686299291e-17,3.69464793371243e-16
"Et_1B_010536",786.289892858177,1.98273028684175,0.236839110605801,8.37163372962431,5.68248349899256e-17,3.70543454048328e-16
"Et_2B_022462",84.3802710066756,8.90652335460014,1.06393067229642,8.37133808293734,5.69676088914298e-17,3.71417225124836e-16
"Et_2A_014900",136.765355000177,-2.26344131848684,0.270401076062815,-8.37068162391869,5.72858927326894e-17,3.73434839871752e-16
"Et_3B_028012",431.552340663953,-5.46637069176274,0.653133619663467,-8.36945232520619,5.78866421739487e-17,3.77292884152396e-16
"Et_4A_033586",173.851057083454,2.68375186742395,0.320671664264387,8.36915813431914,5.80313300884559e-17,3.78177685454798e-16
"Et_9B_066124",38.3718302036794,-5.11106261244803,0.610726524802986,-8.368823695838,5.81962456913532e-17,3.79194013496238e-16
"Et_6A_047199",42.1191177421492,4.92203821743492,0.588196877862689,8.36801146466464,5.85986935468744e-17,3.81757498599711e-16
"Et_2B_021931",53.1341983188219,-3.32975853754573,0.397948291542785,-8.36731456902794,5.89461814747827e-17,3.8396219793948e-16
"Et_5A_041179",71.7598460172459,2.3980088852662,0.286646821990847,8.36572639672516,5.97456913927732e-17,3.89110135386606e-16
"Et_1A_008552",695.717878605999,3.26544918408129,0.390358185513133,8.36526376355806,5.99805928590723e-17,3.90579887643629e-16
"Et_3B_028869",100.102749147727,-1.84854996579527,0.220983841055094,-8.36509111693105,6.00684871815207e-17,3.91092058080301e-16
"Et_8A_056545",73.2804599169991,7.79892610288706,0.932400350878537,8.3643534620495,6.04454600397775e-17,3.93485905073586e-16
"Et_5A_042347",770.366899767389,-4.14531228550874,0.495616812542365,-8.36394605793241,6.06546599964139e-17,3.94787021077859e-16
"Et_4A_035784",29.6100396487445,-5.47490803228962,0.654647009208084,-8.36314526039389,6.10679489700558e-17,3.97415900417156e-16
"Et_3B_029448",43.8439706834143,2.00904563849115,0.240229097854583,8.36304034953867,6.11222984711107e-17,3.97708436546341e-16
"Et_8B_059909",188.044044306368,-1.63049037575429,0.194984063856097,-8.36217249506929,6.15737274937105e-17,4.00584188706199e-16
"Et_10A_000487",1131.11557084463,1.02707687235232,0.122827308448657,8.36195863382978,6.16854750440928e-17,4.01249508740548e-16
"Et_3A_025458",41.5184667510972,-5.41857885103909,0.648057450772614,-8.36126310187323,6.20502918174061e-17,4.03560527080471e-16
"Et_9A_062200",254.745550383491,2.88823126310254,0.345445163656919,8.36089650967295,6.22434303521858e-17,4.04754451829211e-16
"Et_1A_005530",147.863998399893,1.47419925296422,0.176326602618615,8.36061734911795,6.23909032082331e-17,4.05651102131268e-16
"Et_4B_037418",45.8422223965059,4.91588835271559,0.587993562420757,8.36044587372178,6.24816597455992e-17,4.06178777332375e-16
"Et_8A_057483",234.591787715219,1.40368262689586,0.167901427748119,8.36015896780598,6.26338012956405e-17,4.07105278886731e-16
"Et_3B_029518",631.587386838918,1.17354701951175,0.140391091810527,8.35912738035813,6.31838601079013e-17,4.10617469251594e-16
"Et_2A_016408",63.0976758608766,-4.35624622406585,0.52115471497607,-8.35883490810571,6.33406759601878e-17,4.11573377343029e-16
"Et_Un_067752",66.4049483073399,-4.76306853424821,0.569862458175661,-8.35827745083706,6.36406335458359e-17,4.13458951743902e-16
"Et_9A_061168",69.0688953791257,2.80944421491475,0.336132693983131,8.35814029758065,6.37146476938531e-17,4.13876268672888e-16
"Et_1B_012956",155.599647941905,-1.66283743681231,0.198960821034149,-8.35761245942439,6.40002861229014e-17,4.15667911099016e-16
"Et_4B_036966",39.4774863567475,6.093323268876,0.729091089010332,8.35742386749929,6.41026481456576e-17,4.16268846021825e-16
"Et_5A_041669",49.9971304247571,-5.50781660434689,0.659063596642309,-8.35703357370553,6.43150010020165e-17,4.17583743848625e-16
"Et_9A_062102",138.455593655953,-1.36450561857875,0.16328165645614,-8.35676001942862,6.44642510804673e-17,4.18488588084887e-16
"Et_8A_057750",563.905283362284,1.69511187208224,0.202856807650678,8.35619909291508,6.47713594140006e-17,4.20417780736274e-16
"Et_3A_026377",325.377395988156,-0.931178120900369,0.11143782886516,-8.35603251053189,6.48628411601675e-17,4.20947007805289e-16
"Et_1A_006124",112.231283271893,-1.9451428703639,0.232818634835635,-8.35475593153068,6.55681406663503e-17,4.25459017632619e-16
"Et_7A_052132",241.895589685539,3.27118722500895,0.391557191786669,8.35430249686535,6.58204756809768e-17,4.27030895419123e-16
"Et_3A_024373",88.9853671405403,-5.22220433885111,0.625093651805311,-8.35427511344747,6.5835745098418e-17,4.27064489970118e-16
"Et_1B_012458",21.371067882385,-5.06022585874235,0.60571608395973,-8.3541216631764,6.5921376007184e-17,4.27554426455789e-16
"Et_6B_049714",56.5753903239531,-7.36158670244153,0.881304881802602,-8.35305335808908,6.65205816235084e-17,4.31374657417541e-16
"Et_7A_050995",183.735820279394,7.99087882238363,0.956669447571357,8.35281072544924,6.66574195070053e-17,4.32195801062734e-16
