"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Et_1A_008451",268.128032757985,-1.01596603133916,0.168223459876749,-6.03938375826726,1.54703913714037e-09,5.16131146131368e-07
"Et_3B_029835",219.639999654779,-1.2357704335786,0.204625137155457,-6.03919171787659,1.54888127501616e-09,5.16131146131368e-07
"Et_6B_049698",313.22218210776,2.05578651234081,0.340933110142627,6.02988225895921,1.64079175026796e-09,5.42486772432343e-07
"Et_3A_026271",378.483103672918,-1.46425085129544,0.243298489221986,-6.01833104668174,1.76224514189939e-09,5.78125693063427e-07
"Et_5B_045723",30.2137964336089,-1.75912740814105,0.293554358461927,-5.9925099302152,2.06626815133529e-09,6.7264975511161e-07
"Et_3A_026080",62.9894048970935,-1.63955027931613,0.274213097544352,-5.97911002063258,2.24359993805307e-09,7.19311737715196e-07
"Et_7A_050762",879.350659588891,1.0123352269459,0.169304065158113,5.97939113866213,2.2397317925741e-09,7.19311737715196e-07
"Et_6B_049803",1189.27886842836,2.37322829582212,0.397789908280633,5.9660344478821,2.43088984671623e-09,7.73498182804744e-07
"Et_9B_065115",503.343101355882,1.49689279088624,0.251064624690864,5.96218122218278,2.4889288571684e-09,7.8023310544716e-07
"Et_7B_055479",72.0977784047983,-1.02758048080578,0.172434193036123,-5.95926169115725,2.53380066014624e-09,7.88459146598448e-07
"Et_3B_028075",535.53938144933,-2.09296085442383,0.351464617275195,-5.95496886898591,2.60121340551425e-09,8.03528111834767e-07
"Et_1A_008749",176.464577033654,-1.20619140032957,0.202611636361441,-5.95321878837123,2.62919435975042e-09,8.06286270323463e-07
"Et_4A_035366",79.8148505488255,-2.30553016804631,0.387397870889377,-5.95132379729744,2.65982273858806e-09,8.09810779115445e-07
"Et_3B_031051",52.7258504835615,1.56860699823797,0.263890108466269,5.94416746938612,2.7786541484637e-09,8.39947454021314e-07
"Et_1B_012523",341.667918546452,-2.33123632328541,0.392846588193449,-5.93421552674258,2.95253770605279e-09,8.86180111490454e-07
"Et_3A_025485",387.041718426619,-1.46160260235988,0.246605489210267,-5.92688592229046,3.08733290448824e-09,9.20112172661565e-07
"Et_10A_001909",372.306677513294,-2.48622754316796,0.420154248761365,-5.91741616441456,3.27038460689016e-09,9.6785088506008e-07
"Et_3A_027373",222.941424184172,-1.06311261056439,0.179728202351978,-5.91511291301073,3.31647989491017e-09,9.7467659133749e-07
"Et_3B_029790",78.009785153062,1.54234540473996,0.261161854598112,5.90570704559207,3.51137474693129e-09,1.00484427917074e-06
"Et_5A_041976",69.6858942549889,4.76398755080899,0.806444961699637,5.90739328418465,3.47563328414351e-09,1.00484427917074e-06
"Et_7A_050372",138.964174785043,-1.86001520714492,0.314958997526301,-5.90557889043826,3.51410570220391e-09,1.00484427917074e-06
"Et_8B_058983",302.301682422499,1.10891163692493,0.187932813941159,5.90057485794964,3.62237218174805e-09,1.02885094450723e-06
"Et_4A_035892",36.7695342246491,-2.2358937226957,0.379217057287461,-5.89607898623823,3.72240839777082e-09,1.05021548929107e-06
"Et_2B_022835",14.5228952020248,-2.24384024421977,0.381092059771916,-5.88792179391697,3.91082089468979e-09,1.09606582955809e-06
"Et_9A_062726",83.566765997091,-1.14536675072629,0.194616047875244,-5.88526364208416,3.97419964010778e-09,1.10650084716685e-06
"Et_9A_061795",84.1583773057665,-2.05774541627488,0.350157935624302,-5.87662082427488,4.1872581674316e-09,1.15820108265167e-06
"Et_9B_063921",64.9847948498542,1.93678894401675,0.330007311645984,5.86892737120457,4.38623511766874e-09,1.20536019597235e-06
"Et_7A_050617",10.4941348771308,-2.89592424064824,0.494104697516273,-5.86095265882969,4.60219180644787e-09,1.25654682096048e-06
"Et_1B_011941",67.6686995726774,-2.11700696725235,0.361661631361231,-5.85355698165799,4.81169291683714e-09,1.3053259246189e-06
"Et_5A_042906",40.9546189775522,1.43752658661387,0.245840027353987,5.84740655167586,4.99296160591248e-09,1.33746067588652e-06
"Et_9B_064046",609.10520680215,1.41039344475131,0.241200367213571,5.84739343909237,4.99335507537973e-09,1.33746067588652e-06
"Et_3A_027238",143.544251761202,-2.11833568893871,0.362603627626766,-5.84201460642625,5.15732832066472e-09,1.37269267000334e-06
"Et_8A_057667",280.550101386027,-2.64680936811394,0.45343627727641,-5.83722454677015,5.30775421938767e-09,1.40390099102804e-06
"Et_5A_042066",68.2570531247563,-1.38151415147656,0.237118959698757,-5.82624920939124,5.66869479890948e-09,1.49005691857049e-06
"Et_1B_012344",494.719846552428,1.75378921858291,0.301504440363936,5.81679399635366,5.9986993168514e-09,1.56706762400711e-06
"Et_8B_059989",57.5700633120319,-1.29287366577447,0.223083161230356,-5.79547850516359,6.81266537776252e-09,1.75799999260311e-06
"Et_5B_045236",28.3989347505127,-2.30164323784642,0.397296025023393,-5.79327023901358,6.90288992940062e-09,1.7704866776499e-06
"Et_Un_067708",27.5855771484246,-3.14909361463203,0.544024472488946,-5.78851462366157,7.10115674274667e-09,1.81036718887373e-06
"Et_6B_048236",35.4921616576854,1.71429051357837,0.29620934737274,5.7874288194598,7.14719573376519e-09,1.81119355361044e-06
"Et_10A_001558",569.930432783161,-1.97587308966016,0.342415509624195,-5.7703960075544,7.90854583734709e-09,1.96836319138479e-06
"Et_3A_025562",282.625604697603,-1.09593213864426,0.189954621298279,-5.7694418338123,7.95345240375234e-09,1.96836319138479e-06
"Et_10A_001584",48.84807282435,-1.54423383280005,0.267715754421946,-5.76818437949,8.0130111751323e-09,1.97157344727674e-06
"Et_2B_019439",286.256967439239,-1.92577517924554,0.334329370574137,-5.7601136745433,8.40573073627128e-09,2.0562458078555e-06
"Et_8B_060305",405.896147924251,-1.35106435075013,0.235344991668071,-5.74078224981163,9.42402056813972e-09,2.29209511749237e-06
"Et_8A_057057",52.7118062955229,-1.77706168466126,0.310324510739646,-5.72646253570399,1.02546395006974e-08,2.47986482096866e-06
"Et_4A_034178",320.461132824804,-1.44709310458751,0.252788426054004,-5.72452278443461,1.03724887335451e-08,2.49411206365699e-06
"Et_1A_008271",205.203299557849,-2.6552007786619,0.464290813689801,-5.71883117298952,1.07259298902795e-08,2.56452741783405e-06
"Et_3B_029892",334.086473696673,-1.02801866169646,0.179792467542095,-5.71780717930118,1.07907489137258e-08,2.56553086533076e-06
"Et_7B_053625",126.522913697875,2.35628568631987,0.412379365369524,5.71387873447172,1.10429705286728e-08,2.6108296802985e-06
"Et_6B_049363",815.776099131012,1.10889199658758,0.194196421960692,5.71015668255738,1.1287221115981e-08,2.65375109793509e-06
"Et_4A_032334",53.1118842211449,-1.62413114282925,0.284629843789375,-5.70611683303,1.1558267721929e-08,2.68761478017602e-06
"Et_5B_044457",60.3738541526712,-1.87672648375124,0.3288765331872,-5.70647733836026,1.15338254789876e-08,2.68761478017602e-06
"Et_3A_023424",1148.90618429371,1.87843099971448,0.329481362965456,5.70117527379362,1.18984216793709e-08,2.75159128672665e-06
"Et_5A_042776",14.416931075826,-2.18171793539756,0.383146995477432,-5.69420603880494,1.23947334067101e-08,2.85078868354333e-06
"Et_1A_008737",79.6113820324574,1.7008164659632,0.299469774108513,5.6794261491876,1.35147385094918e-08,3.09158774984698e-06
"Et_5B_044666",99.2295117825119,5.5905480860443,0.986520285231123,5.66693677741715,1.45372950913147e-08,3.30762542077655e-06
"Et_4B_039924",99.0139726654685,-1.2630169668862,0.223112085884139,-5.66090788798449,1.5057423790025e-08,3.40764799355004e-06
"Et_9B_064653",54.6678949058488,-1.75303127553324,0.309909499572184,-5.65659096592139,1.54409157656299e-08,3.47584869788009e-06
"Et_4B_038890",489.935077157914,-1.26553451176459,0.224147861746311,-5.64598074639191,1.6424222710681e-08,3.65827950061062e-06
"Et_9A_062093",30.5615962319509,-2.1654356309578,0.384122823562344,-5.63735216479879,1.72684738875843e-08,3.8261875126836e-06
"Et_4A_033398",127.739273024393,-1.38721566688499,0.246383219423119,-5.63031715444343,1.79878544777395e-08,3.9648229244684e-06
"Et_10A_000953",36.2109061915239,-1.23031703669084,0.21871591774454,-5.62518288279253,1.85311541388241e-08,4.06341162256494e-06
"Et_10B_004462",252.848306728538,-1.54490723631973,0.27497405348307,-5.61837459480463,1.9276222660477e-08,4.20499867521333e-06
"Et_7A_051520",9.35898043301885,-2.77246435797172,0.493608268401811,-5.61672997688695,1.94605179257949e-08,4.22343137753661e-06
