"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Et_7B_054672",1119.78167872476,2.97889622851531,0.258336875940506,11.5310530781573,9.20112700901153e-31,1.30187795058966e-29
"Et_2A_015301",121.236898806555,5.02846119898756,0.436100067220085,11.5305214948519,9.25811981239846e-31,1.30950411250235e-29
"Et_6A_047784",108.812782324818,-1.98087954076386,0.171830915215355,-11.5280742017886,9.52505544580497e-31,1.34681037910614e-29
"Et_7A_052389",474.272659435405,2.790882350915,0.242124330441456,11.5266497415873,9.68392979016209e-31,1.36881733039298e-29
"Et_8A_057291",102.791783168056,6.67166583339562,0.57889199900076,11.5248886578356,9.88398935226017e-31,1.3966291465364e-29
"Et_9A_062766",347.316891451019,3.43691614924604,0.298218814343579,11.524813271125,9.89264426764939e-31,1.39738553206583e-29
"Et_6A_047076",67.2994797654578,-3.82432016015129,0.331947380937185,-11.5208625817565,1.03568952769954e-30,1.46247516891039e-29
"Et_1B_011824",165.286158847541,5.9987309225654,0.520685620628103,11.5208307756399,1.03607192723415e-30,1.46252715011838e-29
"Et_3A_025396",226.161298823811,-7.00109288104122,0.607763000335311,-11.5194457003447,1.0528610959183e-30,1.48573129640755e-29
"Et_3A_024494",107.366370196131,3.11996346138694,0.270856723098838,11.5188702930901,1.05991503049594e-30,1.49518680301961e-29
"Et_6B_049469",59.6642936936001,-5.29917619941993,0.460045677020029,-11.5188044668643,1.06072498047796e-30,1.49583076220684e-29
"Et_6A_047020",237.156814233421,3.14993241567221,0.273484659296982,11.5177663850302,1.07357946052488e-30,1.51345378978724e-29
"Et_10B_003254",169.47623691617,6.05578697866716,0.525844842515787,11.5163000357569,1.09200102702525e-30,1.53891053825203e-29
"Et_9A_063351",57.4892978627616,4.92758516707884,0.427958004495808,11.5141792309369,1.11920083306059e-30,1.57671701914528e-29
"Et_10B_003930",295.477155373219,4.27749873596685,0.371503845741597,11.5140093029941,1.12140907656122e-30,1.57930223361301e-29
